new_id,original_id
0,2
1,7
2,76
3,82
4,90
5,172
6,198
7,578
8,999
9,1362
10,1568
11,6962
12,21655
13,33451
14,53180
15,68152
16,102693
17,345941
18,385836
19,524179
20,600390
21,632428
22,682435
23,701240
24,715232
25,1049660
26,1065420
27,1188028
28,1251961
29,1262358
30,1267087
31,1345464
32,1353407
33,1664278
34,1713733
35,1720507
36,1727399
37,1742972
38,2183101
39,2191706
40,2265528
41,2269927
42,2422651
43,2562212
44,2631789
45,2857731
46,3010755
47,3089492
48,3200236
49,3317300
50,3322043
51,3335817
52,3378329
53,3423900
54,3667838
55,3738859
56,3829533
57,3866261
58,3939201
59,4138668
60,4157638
61,4314931
62,4351941
63,4443469
64,4485130
65,4529694
66,4648143
67,5070344
68,5104021
69,5227880
70,5279889
71,5289007
72,5374926
73,5408127
74,5414445
75,5448204
76,5474806
77,5487474
78,5696396
79,5804723
80,5880610
81,5890285
82,5990098
83,6122371
84,6136490
85,6323064
86,6351392
87,6356413
88,6389939
89,6409468
90,6493457
91,6532979
92,6557279
93,6665922
94,6831559
95,6846207
96,6862565
97,7035297
98,7073359
99,7120201
100,7168835
101,7187242
102,7190103
103,7369663
104,7568031
105,7651864
106,7656437
107,7691709
108,7727355
109,7759045
110,7783240
111,7791432
112,7808550
113,7835488
114,7886832
115,7894286
116,8015578
117,8131079
118,8159361
119,8189280
120,8191636
121,8220783
122,8331779
123,8467650
124,8505696
125,8708052
126,8796651
127,9079824
128,9133915
129,9387571
130,9396837
131,9434946
132,9463449
133,9572621
134,9596735
135,9691912
136,9833404
137,9875514
138,9988686
139,10224860
140,10248507
141,10294626
142,10441609
143,10442565
144,10736734
145,10756722
146,10785244
147,10802271
148,10814276
149,10868449
150,10873197
151,10967004
152,11142603
153,11487529
154,11501811
155,11591905
156,11678783
157,11681908
158,11740065
159,11770893
160,11868251
161,11933830
162,11955277
163,11983626
164,12048908
165,12199644
166,12199827
167,12746440
168,12858635
169,12888156
170,13040817
171,13045851
172,13054654
173,13185693
174,13197383
175,13309890
176,13487737
177,13551430
178,13587715
179,13929433
180,13975706
181,14047894
182,14082440
183,14116848
184,14216428
185,14226476
186,14263490
187,14437398
188,14738543
189,14985533
190,15284598
191,15465432
192,15517908
193,15673543
194,15747685
195,15812312
196,15818113
197,15843564
198,16039993
199,16192499
200,16229667
201,16273807
202,16348301
203,16680194
204,16729224
205,16932095
206,16964966
207,17037277
208,17205811
209,17241751
210,17278367
211,17331614
212,17401835
213,17470677
214,17475924
215,17645387
216,17789024
217,17956487
218,17981483
219,18000005
220,18003973
221,18025997
222,18077943
223,18150882
224,18242700
225,18444838
226,18642433
227,18706036
228,18731724
229,18754148
230,18822521
231,18931306
232,18943780
233,19054170
234,19058715
235,19109925
236,19119943
237,19220123
238,19354330
239,19403549
240,19519968
241,19656348
242,19676142
243,19680388
244,19691924
245,19695226
246,19755027
247,19787664
248,19811622
249,19902009
250,19970247
251,20157477
252,20171198
253,20420655
254,20501951
255,20538612
256,20578464
257,20635954
258,20670655
259,20717714
260,20763716
261,20871536
262,20998440
263,21110988
264,21147329
265,21310153
266,21321240
267,21493477
268,21739181
269,21742962
270,21876312
271,22002938
272,22048234
273,22137458
274,22154321
275,22338385
276,22404564
277,22551129
278,22606964
279,22650993
280,22750285
281,22910511
282,23070982
283,23072563
284,23116987
285,23144840
286,23367334
287,23453006
288,23541861
289,23552460
290,23595139
291,23686084
292,23726909
293,24043063
294,24058013
295,24064216
296,24113176
297,24201007
298,24218036
299,24220309
300,24233141
301,24237549
302,24274633
303,24461227
304,24461336
305,24482267
306,24499235
307,24704008
308,24828643
309,24907241
310,24916987
311,25097095
312,25176905
313,25194192
314,25195473
315,25309164
316,25313328
317,25321552
318,25353937
319,25420011
320,25541352
321,25682056
322,25806645
323,25869041
324,25932483
325,25945332
326,26047437
327,26058889
328,26069588
329,26103219
330,26147815
331,26192522
332,26215473
333,26251245
334,26309313
335,26371587
336,26451210
337,26681457
338,26936489
339,26938230
340,27046549
341,27341715
342,27455528
343,27520598
344,27646791
345,27687373
346,27697147
347,27700097
348,27999238
349,28124453
350,28356547
351,28442544
352,28461446
353,28554497
354,28561934
355,28647327
356,28718875
357,28762239
358,28858133
359,28894089
360,29006804
361,29194653
362,29240674
363,29319444
364,29384124
365,29475594
366,29622826
367,29661977
368,29733573
369,29742412
370,29791807
371,29890224
372,29947567
373,30130130
374,30165175
375,30318187
376,30384036
377,30388741
378,30516065
379,30684203
380,30695907
381,30943090
382,30950152
383,30977052
384,30997671
385,31064818
386,31136144
387,31282060
388,31464483
389,31538683
390,31845998
391,31898248
392,31913159
393,31956900
394,32056632
395,32100739
396,32383189
397,32458984
398,32704203
399,32731519
400,32769122
