LEAD 4: NODE SIGN-ENTROPY HETEROGENEITY vs. AUC -- raw per-cell data (canonical, shared edges)
Same numbers as the PNGs / report.md tables, in plain text.

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.5000	0.0000-0.5000	0.9091	1616	
0.5000-1.0000	0.0000-0.5000	0.7628	320	
0.0000-0.5000	0.5000-1.0000	0.9082	298	
0.5000-1.0000	0.5000-1.0000	0.7875	109	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_localattn4 ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.5000	0.0000-0.5000	0.9328	1616	
0.5000-1.0000	0.0000-0.5000	0.8232	320	
0.0000-0.5000	0.5000-1.0000	0.9496	298	
0.5000-1.0000	0.5000-1.0000	0.8718	109	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=GINEConv ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.5000	0.0000-0.5000	0.8725	1616	
0.5000-1.0000	0.0000-0.5000	0.7746	320	
0.0000-0.5000	0.5000-1.0000	0.9397	298	
0.5000-1.0000	0.5000-1.0000	0.8037	109	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=SiGAT ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.5000	0.0000-0.5000	0.9232	1616	
0.5000-1.0000	0.0000-0.5000	0.7380	320	
0.0000-0.5000	0.5000-1.0000	0.8817	298	
0.5000-1.0000	0.5000-1.0000	0.7370	109	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=4 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.2500	0.0000-0.2500	0.9724	1041	
0.2500-0.5000	0.0000-0.2500	0.8734	268	
0.5000-0.7500	0.0000-0.2500	0.8226	138	
0.7500-1.0000	0.0000-0.2500	0.7290	91	
0.0000-0.2500	0.2500-0.5000	0.9330	226	
0.2500-0.5000	0.2500-0.5000	0.7658	81	
0.5000-0.7500	0.2500-0.5000	0.4537	58	
0.7500-1.0000	0.2500-0.5000	0.7500	33	
0.0000-0.2500	0.5000-0.7500	1.0000	147	
0.2500-0.5000	0.5000-0.7500	0.8018	40	
0.5000-0.7500	0.5000-0.7500	0.7500	30	
0.7500-1.0000	0.5000-0.7500	0.6044	20	
0.0000-0.2500	0.7500-1.0000	0.8120	81	
0.2500-0.5000	0.7500-1.0000	0.8400	30	
0.5000-0.7500	0.7500-1.0000	0.8144	35	
0.7500-1.0000	0.7500-1.0000	0.8444	24	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=4 | model=walk_localattn4 ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.2500	0.0000-0.2500	0.9919	1041	
0.2500-0.5000	0.0000-0.2500	0.8790	268	
0.5000-0.7500	0.0000-0.2500	0.8813	138	
0.7500-1.0000	0.0000-0.2500	0.8308	91	
0.0000-0.2500	0.2500-0.5000	0.9397	226	
0.2500-0.5000	0.2500-0.5000	0.8291	81	
0.5000-0.7500	0.2500-0.5000	0.5278	58	
0.7500-1.0000	0.2500-0.5000	0.7817	33	
0.0000-0.2500	0.5000-0.7500	1.0000	147	
0.2500-0.5000	0.5000-0.7500	0.8108	40	
0.5000-0.7500	0.5000-0.7500	0.7639	30	
0.7500-1.0000	0.5000-0.7500	0.7473	20	
0.0000-0.2500	0.7500-1.0000	0.9487	81	
0.2500-0.5000	0.7500-1.0000	0.8880	30	
0.5000-0.7500	0.7500-1.0000	0.9545	35	
0.7500-1.0000	0.7500-1.0000	0.8963	24	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=4 | model=GINEConv ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.2500	0.0000-0.2500	0.9654	1041	
0.2500-0.5000	0.0000-0.2500	0.8737	268	
0.5000-0.7500	0.0000-0.2500	0.8646	138	
0.7500-1.0000	0.0000-0.2500	0.7568	91	
0.0000-0.2500	0.2500-0.5000	0.8951	226	
0.2500-0.5000	0.2500-0.5000	0.4715	81	
0.5000-0.7500	0.2500-0.5000	0.6713	58	
0.7500-1.0000	0.2500-0.5000	0.6667	33	
0.0000-0.2500	0.5000-0.7500	0.9247	147	
0.2500-0.5000	0.5000-0.7500	0.8198	40	
0.5000-0.7500	0.5000-0.7500	0.6250	30	
0.7500-1.0000	0.5000-0.7500	0.7473	20	
0.0000-0.2500	0.7500-1.0000	1.0000	81	
0.2500-0.5000	0.7500-1.0000	0.9200	30	
0.5000-0.7500	0.7500-1.0000	0.9280	35	
0.7500-1.0000	0.7500-1.0000	0.7852	24	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=4 | model=SiGAT ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.2500	0.0000-0.2500	0.9510	1041	
0.2500-0.5000	0.0000-0.2500	0.8886	268	
0.5000-0.7500	0.0000-0.2500	0.8508	138	
0.7500-1.0000	0.0000-0.2500	0.7308	91	
0.0000-0.2500	0.2500-0.5000	0.8973	226	
0.2500-0.5000	0.2500-0.5000	0.7089	81	
0.5000-0.7500	0.2500-0.5000	0.3981	58	
0.7500-1.0000	0.2500-0.5000	0.5754	33	
0.0000-0.2500	0.5000-0.7500	0.7534	147	
0.2500-0.5000	0.5000-0.7500	0.7027	40	
0.5000-0.7500	0.5000-0.7500	0.5347	30	
0.7500-1.0000	0.5000-0.7500	0.7143	20	
0.0000-0.2500	0.7500-1.0000	0.9786	81	
0.2500-0.5000	0.7500-1.0000	0.9360	30	
0.5000-0.7500	0.7500-1.0000	0.8485	35	
0.7500-1.0000	0.7500-1.0000	0.6815	24	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=8 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.1250	0.0000-0.1250	1.0000	691	
0.1250-0.2500	0.0000-0.1250	0.9092	161	
0.2500-0.3750	0.0000-0.1250	0.9722	120	
0.3750-0.5000	0.0000-0.1250	0.7178	105	
0.5000-0.6250	0.0000-0.1250	0.9125	53	
0.6250-0.7500	0.0000-0.1250	0.7530	62	
0.7500-0.8750	0.0000-0.1250	0.7766	46	
0.8750-1.0000	0.0000-0.1250	0.6438	35	
0.0000-0.1250	0.1250-0.2500		157	single_class
0.1250-0.2500	0.1250-0.2500		32	single_class
0.2500-0.3750	0.1250-0.2500		23	single_class
0.3750-0.5000	0.1250-0.2500	1.0000	20	
0.5000-0.6250	0.1250-0.2500		14	below_min_n
0.6250-0.7500	0.1250-0.2500		9	below_min_n
0.7500-0.8750	0.1250-0.2500		4	below_min_n
0.8750-1.0000	0.1250-0.2500		6	below_min_n
0.0000-0.1250	0.2500-0.3750		93	single_class
0.1250-0.2500	0.2500-0.3750		20	single_class
0.2500-0.3750	0.2500-0.3750		24	single_class
0.3750-0.5000	0.2500-0.3750		18	below_min_n
0.5000-0.6250	0.2500-0.3750	0.1667	25	
0.6250-0.7500	0.2500-0.3750		13	below_min_n
0.7500-0.8750	0.2500-0.3750		7	below_min_n
0.8750-1.0000	0.2500-0.3750		8	below_min_n
0.0000-0.1250	0.3750-0.5000		87	single_class
0.1250-0.2500	0.3750-0.5000	0.8542	26	
0.2500-0.3750	0.3750-0.5000	1.0000	26	
0.3750-0.5000	0.3750-0.5000		13	below_min_n
0.5000-0.6250	0.3750-0.5000		10	below_min_n
0.6250-0.7500	0.3750-0.5000		10	below_min_n
0.7500-0.8750	0.3750-0.5000		8	below_min_n
0.8750-1.0000	0.3750-0.5000		10	below_min_n
0.0000-0.1250	0.5000-0.6250		61	single_class
0.1250-0.2500	0.5000-0.6250		15	below_min_n
0.2500-0.3750	0.5000-0.6250		10	below_min_n
0.3750-0.5000	0.5000-0.6250		10	below_min_n
0.5000-0.6250	0.5000-0.6250		5	below_min_n
0.6250-0.7500	0.5000-0.6250		11	below_min_n
0.7500-0.8750	0.5000-0.6250		5	below_min_n
0.8750-1.0000	0.5000-0.6250		5	below_min_n
0.0000-0.1250	0.6250-0.7500	1.0000	58	
0.1250-0.2500	0.6250-0.7500		13	below_min_n
0.2500-0.3750	0.6250-0.7500		6	below_min_n
0.3750-0.5000	0.6250-0.7500		14	below_min_n
0.5000-0.6250	0.6250-0.7500		6	below_min_n
0.6250-0.7500	0.6250-0.7500		8	below_min_n
0.7500-0.8750	0.6250-0.7500		4	below_min_n
0.8750-1.0000	0.6250-0.7500		6	below_min_n
0.0000-0.1250	0.7500-0.8750		39	single_class
0.1250-0.2500	0.7500-0.8750		9	below_min_n
0.2500-0.3750	0.7500-0.8750		6	below_min_n
0.3750-0.5000	0.7500-0.8750		9	below_min_n
0.5000-0.6250	0.7500-0.8750		7	below_min_n
0.6250-0.7500	0.7500-0.8750		14	below_min_n
0.7500-0.8750	0.7500-0.8750		5	below_min_n
0.8750-1.0000	0.7500-0.8750		5	below_min_n
0.0000-0.1250	0.8750-1.0000		24	single_class
0.1250-0.2500	0.8750-1.0000		9	below_min_n
0.2500-0.3750	0.8750-1.0000		6	below_min_n
0.3750-0.5000	0.8750-1.0000		9	below_min_n
0.5000-0.6250	0.8750-1.0000		7	below_min_n
0.6250-0.7500	0.8750-1.0000		7	below_min_n
0.7500-0.8750	0.8750-1.0000		7	below_min_n
0.8750-1.0000	0.8750-1.0000		7	below_min_n

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=8 | model=walk_localattn4 ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.1250	0.0000-0.1250	1.0000	691	
0.1250-0.2500	0.0000-0.1250	0.9952	161	
0.2500-0.3750	0.0000-0.1250	0.9898	120	
0.3750-0.5000	0.0000-0.1250	0.7327	105	
0.5000-0.6250	0.0000-0.1250	0.9667	53	
0.6250-0.7500	0.0000-0.1250	0.7887	62	
0.7500-0.8750	0.0000-0.1250	0.8608	46	
0.8750-1.0000	0.0000-0.1250	0.7745	35	
0.0000-0.1250	0.1250-0.2500		157	single_class
0.1250-0.2500	0.1250-0.2500		32	single_class
0.2500-0.3750	0.1250-0.2500		23	single_class
0.3750-0.5000	0.1250-0.2500	0.7368	20	
0.5000-0.6250	0.1250-0.2500		14	below_min_n
0.6250-0.7500	0.1250-0.2500		9	below_min_n
0.7500-0.8750	0.1250-0.2500		4	below_min_n
0.8750-1.0000	0.1250-0.2500		6	below_min_n
0.0000-0.1250	0.2500-0.3750		93	single_class
0.1250-0.2500	0.2500-0.3750		20	single_class
0.2500-0.3750	0.2500-0.3750		24	single_class
0.3750-0.5000	0.2500-0.3750		18	below_min_n
0.5000-0.6250	0.2500-0.3750	0.0000	25	
0.6250-0.7500	0.2500-0.3750		13	below_min_n
0.7500-0.8750	0.2500-0.3750		7	below_min_n
0.8750-1.0000	0.2500-0.3750		8	below_min_n
0.0000-0.1250	0.3750-0.5000		87	single_class
0.1250-0.2500	0.3750-0.5000	0.8750	26	
0.2500-0.3750	0.3750-0.5000	1.0000	26	
0.3750-0.5000	0.3750-0.5000		13	below_min_n
0.5000-0.6250	0.3750-0.5000		10	below_min_n
0.6250-0.7500	0.3750-0.5000		10	below_min_n
0.7500-0.8750	0.3750-0.5000		8	below_min_n
0.8750-1.0000	0.3750-0.5000		10	below_min_n
0.0000-0.1250	0.5000-0.6250		61	single_class
0.1250-0.2500	0.5000-0.6250		15	below_min_n
0.2500-0.3750	0.5000-0.6250		10	below_min_n
0.3750-0.5000	0.5000-0.6250		10	below_min_n
0.5000-0.6250	0.5000-0.6250		5	below_min_n
0.6250-0.7500	0.5000-0.6250		11	below_min_n
0.7500-0.8750	0.5000-0.6250		5	below_min_n
0.8750-1.0000	0.5000-0.6250		5	below_min_n
0.0000-0.1250	0.6250-0.7500	1.0000	58	
0.1250-0.2500	0.6250-0.7500		13	below_min_n
0.2500-0.3750	0.6250-0.7500		6	below_min_n
0.3750-0.5000	0.6250-0.7500		14	below_min_n
0.5000-0.6250	0.6250-0.7500		6	below_min_n
0.6250-0.7500	0.6250-0.7500		8	below_min_n
0.7500-0.8750	0.6250-0.7500		4	below_min_n
0.8750-1.0000	0.6250-0.7500		6	below_min_n
0.0000-0.1250	0.7500-0.8750		39	single_class
0.1250-0.2500	0.7500-0.8750		9	below_min_n
0.2500-0.3750	0.7500-0.8750		6	below_min_n
0.3750-0.5000	0.7500-0.8750		9	below_min_n
0.5000-0.6250	0.7500-0.8750		7	below_min_n
0.6250-0.7500	0.7500-0.8750		14	below_min_n
0.7500-0.8750	0.7500-0.8750		5	below_min_n
0.8750-1.0000	0.7500-0.8750		5	below_min_n
0.0000-0.1250	0.8750-1.0000		24	single_class
0.1250-0.2500	0.8750-1.0000		9	below_min_n
0.2500-0.3750	0.8750-1.0000		6	below_min_n
0.3750-0.5000	0.8750-1.0000		9	below_min_n
0.5000-0.6250	0.8750-1.0000		7	below_min_n
0.6250-0.7500	0.8750-1.0000		7	below_min_n
0.7500-0.8750	0.8750-1.0000		7	below_min_n
0.8750-1.0000	0.8750-1.0000		7	below_min_n

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=8 | model=GINEConv ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.1250	0.0000-0.1250	0.9942	691	
0.1250-0.2500	0.0000-0.1250	0.9554	161	
0.2500-0.3750	0.0000-0.1250	0.9488	120	
0.3750-0.5000	0.0000-0.1250	0.7673	105	
0.5000-0.6250	0.0000-0.1250	0.9958	53	
0.6250-0.7500	0.0000-0.1250	0.7560	62	
0.7500-0.8750	0.0000-0.1250	0.9011	46	
0.8750-1.0000	0.0000-0.1250	0.6928	35	
0.0000-0.1250	0.1250-0.2500		157	single_class
0.1250-0.2500	0.1250-0.2500		32	single_class
0.2500-0.3750	0.1250-0.2500		23	single_class
0.3750-0.5000	0.1250-0.2500	0.6842	20	
0.5000-0.6250	0.1250-0.2500		14	below_min_n
0.6250-0.7500	0.1250-0.2500		9	below_min_n
0.7500-0.8750	0.1250-0.2500		4	below_min_n
0.8750-1.0000	0.1250-0.2500		6	below_min_n
0.0000-0.1250	0.2500-0.3750		93	single_class
0.1250-0.2500	0.2500-0.3750		20	single_class
0.2500-0.3750	0.2500-0.3750		24	single_class
0.3750-0.5000	0.2500-0.3750		18	below_min_n
0.5000-0.6250	0.2500-0.3750	0.5000	25	
0.6250-0.7500	0.2500-0.3750		13	below_min_n
0.7500-0.8750	0.2500-0.3750		7	below_min_n
0.8750-1.0000	0.2500-0.3750		8	below_min_n
0.0000-0.1250	0.3750-0.5000		87	single_class
0.1250-0.2500	0.3750-0.5000	0.8333	26	
0.2500-0.3750	0.3750-0.5000	0.9200	26	
0.3750-0.5000	0.3750-0.5000		13	below_min_n
0.5000-0.6250	0.3750-0.5000		10	below_min_n
0.6250-0.7500	0.3750-0.5000		10	below_min_n
0.7500-0.8750	0.3750-0.5000		8	below_min_n
0.8750-1.0000	0.3750-0.5000		10	below_min_n
0.0000-0.1250	0.5000-0.6250		61	single_class
0.1250-0.2500	0.5000-0.6250		15	below_min_n
0.2500-0.3750	0.5000-0.6250		10	below_min_n
0.3750-0.5000	0.5000-0.6250		10	below_min_n
0.5000-0.6250	0.5000-0.6250		5	below_min_n
0.6250-0.7500	0.5000-0.6250		11	below_min_n
0.7500-0.8750	0.5000-0.6250		5	below_min_n
0.8750-1.0000	0.5000-0.6250		5	below_min_n
0.0000-0.1250	0.6250-0.7500	0.8947	58	
0.1250-0.2500	0.6250-0.7500		13	below_min_n
0.2500-0.3750	0.6250-0.7500		6	below_min_n
0.3750-0.5000	0.6250-0.7500		14	below_min_n
0.5000-0.6250	0.6250-0.7500		6	below_min_n
0.6250-0.7500	0.6250-0.7500		8	below_min_n
0.7500-0.8750	0.6250-0.7500		4	below_min_n
0.8750-1.0000	0.6250-0.7500		6	below_min_n
0.0000-0.1250	0.7500-0.8750		39	single_class
0.1250-0.2500	0.7500-0.8750		9	below_min_n
0.2500-0.3750	0.7500-0.8750		6	below_min_n
0.3750-0.5000	0.7500-0.8750		9	below_min_n
0.5000-0.6250	0.7500-0.8750		7	below_min_n
0.6250-0.7500	0.7500-0.8750		14	below_min_n
0.7500-0.8750	0.7500-0.8750		5	below_min_n
0.8750-1.0000	0.7500-0.8750		5	below_min_n
0.0000-0.1250	0.8750-1.0000		24	single_class
0.1250-0.2500	0.8750-1.0000		9	below_min_n
0.2500-0.3750	0.8750-1.0000		6	below_min_n
0.3750-0.5000	0.8750-1.0000		9	below_min_n
0.5000-0.6250	0.8750-1.0000		7	below_min_n
0.6250-0.7500	0.8750-1.0000		7	below_min_n
0.7500-0.8750	0.8750-1.0000		7	below_min_n
0.8750-1.0000	0.8750-1.0000		7	below_min_n

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=8 | model=SiGAT ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.1250	0.0000-0.1250	0.9986	691	
0.1250-0.2500	0.0000-0.1250	0.9283	161	
0.2500-0.3750	0.0000-0.1250	0.9503	120	
0.3750-0.5000	0.0000-0.1250	0.7649	105	
0.5000-0.6250	0.0000-0.1250	0.9917	53	
0.6250-0.7500	0.0000-0.1250	0.7054	62	
0.7500-0.8750	0.0000-0.1250	0.8278	46	
0.8750-1.0000	0.0000-0.1250	0.6373	35	
0.0000-0.1250	0.1250-0.2500		157	single_class
0.1250-0.2500	0.1250-0.2500		32	single_class
0.2500-0.3750	0.1250-0.2500		23	single_class
0.3750-0.5000	0.1250-0.2500	0.9474	20	
0.5000-0.6250	0.1250-0.2500		14	below_min_n
0.6250-0.7500	0.1250-0.2500		9	below_min_n
0.7500-0.8750	0.1250-0.2500		4	below_min_n
0.8750-1.0000	0.1250-0.2500		6	below_min_n
0.0000-0.1250	0.2500-0.3750		93	single_class
0.1250-0.2500	0.2500-0.3750		20	single_class
0.2500-0.3750	0.2500-0.3750		24	single_class
0.3750-0.5000	0.2500-0.3750		18	below_min_n
0.5000-0.6250	0.2500-0.3750	0.2500	25	
0.6250-0.7500	0.2500-0.3750		13	below_min_n
0.7500-0.8750	0.2500-0.3750		7	below_min_n
0.8750-1.0000	0.2500-0.3750		8	below_min_n
0.0000-0.1250	0.3750-0.5000		87	single_class
0.1250-0.2500	0.3750-0.5000	0.8958	26	
0.2500-0.3750	0.3750-0.5000	0.8000	26	
0.3750-0.5000	0.3750-0.5000		13	below_min_n
0.5000-0.6250	0.3750-0.5000		10	below_min_n
0.6250-0.7500	0.3750-0.5000		10	below_min_n
0.7500-0.8750	0.3750-0.5000		8	below_min_n
0.8750-1.0000	0.3750-0.5000		10	below_min_n
0.0000-0.1250	0.5000-0.6250		61	single_class
0.1250-0.2500	0.5000-0.6250		15	below_min_n
0.2500-0.3750	0.5000-0.6250		10	below_min_n
0.3750-0.5000	0.5000-0.6250		10	below_min_n
0.5000-0.6250	0.5000-0.6250		5	below_min_n
0.6250-0.7500	0.5000-0.6250		11	below_min_n
0.7500-0.8750	0.5000-0.6250		5	below_min_n
0.8750-1.0000	0.5000-0.6250		5	below_min_n
0.0000-0.1250	0.6250-0.7500	0.7018	58	
0.1250-0.2500	0.6250-0.7500		13	below_min_n
0.2500-0.3750	0.6250-0.7500		6	below_min_n
0.3750-0.5000	0.6250-0.7500		14	below_min_n
0.5000-0.6250	0.6250-0.7500		6	below_min_n
0.6250-0.7500	0.6250-0.7500		8	below_min_n
0.7500-0.8750	0.6250-0.7500		4	below_min_n
0.8750-1.0000	0.6250-0.7500		6	below_min_n
0.0000-0.1250	0.7500-0.8750		39	single_class
0.1250-0.2500	0.7500-0.8750		9	below_min_n
0.2500-0.3750	0.7500-0.8750		6	below_min_n
0.3750-0.5000	0.7500-0.8750		9	below_min_n
0.5000-0.6250	0.7500-0.8750		7	below_min_n
0.6250-0.7500	0.7500-0.8750		14	below_min_n
0.7500-0.8750	0.7500-0.8750		5	below_min_n
0.8750-1.0000	0.7500-0.8750		5	below_min_n
0.0000-0.1250	0.8750-1.0000		24	single_class
0.1250-0.2500	0.8750-1.0000		9	below_min_n
0.2500-0.3750	0.8750-1.0000		6	below_min_n
0.3750-0.5000	0.8750-1.0000		9	below_min_n
0.5000-0.6250	0.8750-1.0000		7	below_min_n
0.6250-0.7500	0.8750-1.0000		7	below_min_n
0.7500-0.8750	0.8750-1.0000		7	below_min_n
0.8750-1.0000	0.8750-1.0000		7	below_min_n

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=16 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.0625	0.0000-0.0625	1.0000	533	
0.0625-0.1250	0.0000-0.0625		78	single_class
0.1250-0.1875	0.0000-0.0625	0.9120	75	
0.1875-0.2500	0.0000-0.0625		76	single_class
0.2500-0.3125	0.0000-0.0625	1.0000	43	
0.3125-0.3750	0.0000-0.0625	0.9683	67	
0.3750-0.4375	0.0000-0.0625	0.9091	56	
0.4375-0.5000	0.0000-0.0625	0.6581	42	
0.5000-0.5625	0.0000-0.0625	0.9000	34	
0.5625-0.6250	0.0000-0.0625		13	below_min_n
0.6250-0.6875	0.0000-0.0625	0.8824	20	
0.6875-0.7500	0.0000-0.0625	0.6569	37	
0.7500-0.8125	0.0000-0.0625		13	below_min_n
0.8125-0.8750	0.0000-0.0625	0.8269	30	
0.8750-0.9375	0.0000-0.0625		14	below_min_n
0.9375-1.0000	0.0000-0.0625	0.6364	20	
0.0000-0.0625	0.0625-0.1250		76	single_class
0.0625-0.1250	0.0625-0.1250		4	below_min_n
0.1250-0.1875	0.0625-0.1250		5	below_min_n
0.1875-0.2500	0.0625-0.1250		5	below_min_n
0.2500-0.3125	0.0625-0.1250		5	below_min_n
0.3125-0.3750	0.0625-0.1250		5	below_min_n
0.3750-0.4375	0.0625-0.1250		2	below_min_n
0.4375-0.5000	0.0625-0.1250		5	below_min_n
0.5000-0.5625	0.0625-0.1250		3	below_min_n
0.5625-0.6250	0.0625-0.1250		3	below_min_n
0.6250-0.6875	0.0625-0.1250		2	below_min_n
0.6875-0.7500	0.0625-0.1250		3	below_min_n
0.7500-0.8125	0.0625-0.1250		3	below_min_n
0.8125-0.8750	0.0625-0.1250		0	empty
0.8750-0.9375	0.0625-0.1250		1	below_min_n
0.9375-1.0000	0.0625-0.1250		0	empty
0.0000-0.0625	0.1250-0.1875		79	single_class
0.0625-0.1250	0.1250-0.1875		8	below_min_n
0.1250-0.1875	0.1250-0.1875		9	below_min_n
0.1875-0.2500	0.1250-0.1875		9	below_min_n
0.2500-0.3125	0.1250-0.1875		7	below_min_n
0.3125-0.3750	0.1250-0.1875		6	below_min_n
0.3750-0.4375	0.1250-0.1875		6	below_min_n
0.4375-0.5000	0.1250-0.1875		7	below_min_n
0.5000-0.5625	0.1250-0.1875		3	below_min_n
0.5625-0.6250	0.1250-0.1875		2	below_min_n
0.6250-0.6875	0.1250-0.1875		1	below_min_n
0.6875-0.7500	0.1250-0.1875		4	below_min_n
0.7500-0.8125	0.1250-0.1875		0	empty
0.8125-0.8750	0.1250-0.1875		1	below_min_n
0.8750-0.9375	0.1250-0.1875		1	below_min_n
0.9375-1.0000	0.1250-0.1875		1	below_min_n
0.0000-0.0625	0.1875-0.2500		65	single_class
0.0625-0.1250	0.1875-0.2500		5	below_min_n
0.1250-0.1875	0.1875-0.2500		6	below_min_n
0.1875-0.2500	0.1875-0.2500		8	below_min_n
0.2500-0.3125	0.1875-0.2500		3	below_min_n
0.3125-0.3750	0.1875-0.2500		7	below_min_n
0.3750-0.4375	0.1875-0.2500		5	below_min_n
0.4375-0.5000	0.1875-0.2500		2	below_min_n
0.5000-0.5625	0.1875-0.2500		4	below_min_n
0.5625-0.6250	0.1875-0.2500		5	below_min_n
0.6250-0.6875	0.1875-0.2500		3	below_min_n
0.6875-0.7500	0.1875-0.2500		1	below_min_n
0.7500-0.8125	0.1875-0.2500		3	below_min_n
0.8125-0.8750	0.1875-0.2500		0	empty
0.8750-0.9375	0.1875-0.2500		2	below_min_n
0.9375-1.0000	0.1875-0.2500		2	below_min_n
0.0000-0.0625	0.2500-0.3125		40	single_class
0.0625-0.1250	0.2500-0.3125		2	below_min_n
0.1250-0.1875	0.2500-0.3125		1	below_min_n
0.1875-0.2500	0.2500-0.3125		3	below_min_n
0.2500-0.3125	0.2500-0.3125		5	below_min_n
0.3125-0.3750	0.2500-0.3125		5	below_min_n
0.3750-0.4375	0.2500-0.3125		4	below_min_n
0.4375-0.5000	0.2500-0.3125		4	below_min_n
0.5000-0.5625	0.2500-0.3125		8	below_min_n
0.5625-0.6250	0.2500-0.3125		2	below_min_n
0.6250-0.6875	0.2500-0.3125		2	below_min_n
0.6875-0.7500	0.2500-0.3125		3	below_min_n
0.7500-0.8125	0.2500-0.3125		0	empty
0.8125-0.8750	0.2500-0.3125		2	below_min_n
0.8750-0.9375	0.2500-0.3125		1	below_min_n
0.9375-1.0000	0.2500-0.3125		1	below_min_n
0.0000-0.0625	0.3125-0.3750		50	single_class
0.0625-0.1250	0.3125-0.3750		1	below_min_n
0.1250-0.1875	0.3125-0.3750		10	below_min_n
0.1875-0.2500	0.3125-0.3750		6	below_min_n
0.2500-0.3125	0.3125-0.3750		9	below_min_n
0.3125-0.3750	0.3125-0.3750		5	below_min_n
0.3750-0.4375	0.3125-0.3750		5	below_min_n
0.4375-0.5000	0.3125-0.3750		5	below_min_n
0.5000-0.5625	0.3125-0.3750		9	below_min_n
0.5625-0.6250	0.3125-0.3750		6	below_min_n
0.6250-0.6875	0.3125-0.3750		2	below_min_n
0.6875-0.7500	0.3125-0.3750		6	below_min_n
0.7500-0.8125	0.3125-0.3750		2	below_min_n
0.8125-0.8750	0.3125-0.3750		3	below_min_n
0.8750-0.9375	0.3125-0.3750		2	below_min_n
0.9375-1.0000	0.3125-0.3750		4	below_min_n
0.0000-0.0625	0.3750-0.4375		56	single_class
0.0625-0.1250	0.3750-0.4375		2	below_min_n
0.1250-0.1875	0.3750-0.4375		5	below_min_n
0.1875-0.2500	0.3750-0.4375		7	below_min_n
0.2500-0.3125	0.3750-0.4375		7	below_min_n
0.3125-0.3750	0.3750-0.4375		6	below_min_n
0.3750-0.4375	0.3750-0.4375		4	below_min_n
0.4375-0.5000	0.3750-0.4375		3	below_min_n
0.5000-0.5625	0.3750-0.4375		5	below_min_n
0.5625-0.6250	0.3750-0.4375		2	below_min_n
0.6250-0.6875	0.3750-0.4375		2	below_min_n
0.6875-0.7500	0.3750-0.4375		4	below_min_n
0.7500-0.8125	0.3750-0.4375		2	below_min_n
0.8125-0.8750	0.3750-0.4375		1	below_min_n
0.8750-0.9375	0.3750-0.4375		5	below_min_n
0.9375-1.0000	0.3750-0.4375		3	below_min_n
0.0000-0.0625	0.4375-0.5000		27	single_class
0.0625-0.1250	0.4375-0.5000		2	below_min_n
0.1250-0.1875	0.4375-0.5000		10	below_min_n
0.1875-0.2500	0.4375-0.5000		4	below_min_n
0.2500-0.3125	0.4375-0.5000		5	below_min_n
0.3125-0.3750	0.4375-0.5000		8	below_min_n
0.3750-0.4375	0.4375-0.5000		3	below_min_n
0.4375-0.5000	0.4375-0.5000		3	below_min_n
0.5000-0.5625	0.4375-0.5000		3	below_min_n
0.5625-0.6250	0.4375-0.5000		0	empty
0.6250-0.6875	0.4375-0.5000		1	below_min_n
0.6875-0.7500	0.4375-0.5000		3	below_min_n
0.7500-0.8125	0.4375-0.5000		3	below_min_n
0.8125-0.8750	0.4375-0.5000		2	below_min_n
0.8750-0.9375	0.4375-0.5000		1	below_min_n
0.9375-1.0000	0.4375-0.5000		1	below_min_n
0.0000-0.0625	0.5000-0.5625		46	single_class
0.0625-0.1250	0.5000-0.5625		2	below_min_n
0.1250-0.1875	0.5000-0.5625		5	below_min_n
