LEAD 4: NODE SIGN-ENTROPY HETEROGENEITY vs. AUC -- raw per-cell data (canonical, shared edges)
Same numbers as the PNGs / report.md tables, in plain text.

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.1250	0.1250-0.2500		157	single_class
0.1250-0.2500	0.1250-0.2500		32	single_class
0.2500-0.3750	0.1250-0.2500		23	single_class
0.3750-0.5000	0.1250-0.2500	0.9474	20	
0.5000-0.6250	0.1250-0.2500		14	below_min_n
0.6250-0.7500	0.1250-0.2500		9	below_min_n
0.7500-0.8750	0.1250-0.2500		4	below_min_n
0.8750-1.0000	0.1250-0.2500		6	below_min_n
0.0000-0.1250	0.2500-0.3750		93	single_class
0.1250-0.2500	0.2500-0.3750		20	single_class
0.2500-0.3750	0.2500-0.3750		24	single_class
0.3750-0.5000	0.2500-0.3750		18	below_min_n
0.5000-0.6250	0.2500-0.3750	0.0833	25	
0.6250-0.7500	0.2500-0.3750		13	below_min_n
0.7500-0.8750	0.2500-0.3750		7	below_min_n
0.8750-1.0000	0.2500-0.3750		8	below_min_n
0.0000-0.1250	0.3750-0.5000		87	single_class
0.1250-0.2500	0.3750-0.5000	0.8750	26	
0.2500-0.3750	0.3750-0.5000	1.0000	26	
0.3750-0.5000	0.3750-0.5000		13	below_min_n
0.5000-0.6250	0.3750-0.5000		10	below_min_n
0.6250-0.7500	0.3750-0.5000		10	below_min_n
0.7500-0.8750	0.3750-0.5000		8	below_min_n
0.8750-1.0000	0.3750-0.5000		10	below_min_n
0.0000-0.1250	0.5000-0.6250		61	single_class
0.1250-0.2500	0.5000-0.6250		15	below_min_n
0.2500-0.3750	0.5000-0.6250		10	below_min_n
0.3750-0.5000	0.5000-0.6250		10	below_min_n
0.5000-0.6250	0.5000-0.6250		5	below_min_n
0.6250-0.7500	0.5000-0.6250		11	below_min_n
0.7500-0.8750	0.5000-0.6250		5	below_min_n
0.8750-1.0000	0.5000-0.6250		5	below_min_n
0.0000-0.1250	0.6250-0.7500	1.0000	58	
0.1250-0.2500	0.6250-0.7500		13	below_min_n
0.2500-0.3750	0.6250-0.7500		6	below_min_n
0.3750-0.5000	0.6250-0.7500		14	below_min_n
0.5000-0.6250	0.6250-0.7500		6	below_min_n
0.6250-0.7500	0.6250-0.7500		8	below_min_n
0.7500-0.8750	0.6250-0.7500		4	below_min_n
0.8750-1.0000	0.6250-0.7500		6	below_min_n
0.0000-0.1250	0.7500-0.8750		39	single_class
0.1250-0.2500	0.7500-0.8750		9	below_min_n
0.2500-0.3750	0.7500-0.8750		6	below_min_n
0.3750-0.5000	0.7500-0.8750		9	below_min_n
0.5000-0.6250	0.7500-0.8750		7	below_min_n
0.6250-0.7500	0.7500-0.8750		14	below_min_n
0.7500-0.8750	0.7500-0.8750		5	below_min_n
0.8750-1.0000	0.7500-0.8750		5	below_min_n
0.0000-0.1250	0.8750-1.0000		24	single_class
0.1250-0.2500	0.8750-1.0000		9	below_min_n
0.2500-0.3750	0.8750-1.0000		6	below_min_n
0.3750-0.5000	0.8750-1.0000		9	below_min_n
0.5000-0.6250	0.8750-1.0000		7	below_min_n
0.6250-0.7500	0.8750-1.0000		7	below_min_n
0.7500-0.8750	0.8750-1.0000		7	below_min_n
0.8750-1.0000	0.8750-1.0000		7	below_min_n

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=8 | model=walk_localattn4 ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.1250	0.0000-0.1250	1.0000	691	
0.1250-0.2500	0.0000-0.1250	0.9920	161	
0.2500-0.3750	0.0000-0.1250	0.9781	120	
0.3750-0.5000	0.0000-0.1250	0.7302	105	
0.5000-0.6250	0.0000-0.1250	0.8792	53	
0.6250-0.7500	0.0000-0.1250	0.7560	62	
0.7500-0.8750	0.0000-0.1250	0.8388	46	
0.8750-1.0000	0.0000-0.1250	0.7549	35	
0.0000-0.1250	0.1250-0.2500		157	single_class
0.1250-0.2500	0.1250-0.2500		32	single_class
0.2500-0.3750	0.1250-0.2500		23	single_class
0.3750-0.5000	0.1250-0.2500	0.7895	20	
0.5000-0.6250	0.1250-0.2500		14	below_min_n
0.6250-0.7500	0.1250-0.2500		9	below_min_n
0.7500-0.8750	0.1250-0.2500		4	below_min_n
0.8750-1.0000	0.1250-0.2500		6	below_min_n
0.0000-0.1250	0.2500-0.3750		93	single_class
0.1250-0.2500	0.2500-0.3750		20	single_class
0.2500-0.3750	0.2500-0.3750		24	single_class
0.3750-0.5000	0.2500-0.3750		18	below_min_n
0.5000-0.6250	0.2500-0.3750	0.0000	25	
0.6250-0.7500	0.2500-0.3750		13	below_min_n
0.7500-0.8750	0.2500-0.3750		7	below_min_n
0.8750-1.0000	0.2500-0.3750		8	below_min_n
0.0000-0.1250	0.3750-0.5000		87	single_class
0.1250-0.2500	0.3750-0.5000	0.9167	26	
0.2500-0.3750	0.3750-0.5000	1.0000	26	
0.3750-0.5000	0.3750-0.5000		13	below_min_n
0.5000-0.6250	0.3750-0.5000		10	below_min_n
0.6250-0.7500	0.3750-0.5000		10	below_min_n
0.7500-0.8750	0.3750-0.5000		8	below_min_n
0.8750-1.0000	0.3750-0.5000		10	below_min_n
0.0000-0.1250	0.5000-0.6250		61	single_class
0.1250-0.2500	0.5000-0.6250		15	below_min_n
0.2500-0.3750	0.5000-0.6250		10	below_min_n
0.3750-0.5000	0.5000-0.6250		10	below_min_n
0.5000-0.6250	0.5000-0.6250		5	below_min_n
0.6250-0.7500	0.5000-0.6250		11	below_min_n
0.7500-0.8750	0.5000-0.6250		5	below_min_n
0.8750-1.0000	0.5000-0.6250		5	below_min_n
0.0000-0.1250	0.6250-0.7500	1.0000	58	
0.1250-0.2500	0.6250-0.7500		13	below_min_n
0.2500-0.3750	0.6250-0.7500		6	below_min_n
0.3750-0.5000	0.6250-0.7500		14	below_min_n
0.5000-0.6250	0.6250-0.7500		6	below_min_n
0.6250-0.7500	0.6250-0.7500		8	below_min_n
0.7500-0.8750	0.6250-0.7500		4	below_min_n
0.8750-1.0000	0.6250-0.7500		6	below_min_n
0.0000-0.1250	0.7500-0.8750		39	single_class
0.1250-0.2500	0.7500-0.8750		9	below_min_n
0.2500-0.3750	0.7500-0.8750		6	below_min_n
0.3750-0.5000	0.7500-0.8750		9	below_min_n
0.5000-0.6250	0.7500-0.8750		7	below_min_n
0.6250-0.7500	0.7500-0.8750		14	below_min_n
0.7500-0.8750	0.7500-0.8750		5	below_min_n
0.8750-1.0000	0.7500-0.8750		5	below_min_n
0.0000-0.1250	0.8750-1.0000		24	single_class
0.1250-0.2500	0.8750-1.0000		9	below_min_n
